"label","x","y","band1","band2","band3","band4","band5","band6","band7","band8"
"road1",646868.894194345,5887972.2586455,0.14280092716217,0.127660050988197,0.10008243471384,0.0965890735387802,0.0885439589619637,0.0992714837193489,0.104984790086746,0.0784882009029388
"road1",646976.410805326,5887911.85605507,0.136886104941368,0.1207425147295,0.0872965753078461,0.0681207180023193,0.0680390372872353,0.0810531228780746,0.0822380855679512,0.0617546774446964
"road1",647039.229499383,5887946.88955752,0.154630586504936,0.14086626470089,0.120363458991051,0.10811198502779,0.11464112251997,0.110797382891178,0.123357124626637,0.0948233157396317
"road1",647110.504556101,5887972.2586455,0.156320542097092,0.141495138406754,0.118599891662598,0.104383982717991,0.106718771159649,0.112656399607658,0.12423200160265,0.0948233157396317
"road1",646993.323530649,5887884.67488937,0.145758345723152,0.130804389715195,0.1053731366992,0.0945556238293648,0.092272125184536,0.0914636105298996,0.101485297083855,0.0928312242031097
"road1",646906.343800417,5887857.49372367,0.152095660567284,0.132690995931625,0.115072757005692,0.104722894728184,0.105320706963539,0.111169189214706,0.119420193135738,0.101994827389717
"road1",646847.753287691,5887820.0441176,0.151250690221786,0.14275287091732,0.122567914426327,0.111501075327396,0.116505205631256,0.117118045687675,0.146541267633438,0.112353675067425
"road1",646765.605764694,5887772.32607115,0.155898049473763,0.14275287091732,0.120363458991051,0.111162163317204,0.113709077239037,0.127156734466553,0.139542281627655,0.113150507211685
"road1",646731.176288143,5887750.58113859,0.147448301315308,0.132062122225761,0.122127026319504,0.109806530177593,0.109514892101288,0.127156734466553,0.167975664138794,0.151796981692314
"road1",646679.230060366,5887722.79594699,0.151250690221786,0.137093067169189,0.116836324334145,0.111162163317204,0.106252744793892,0.122323289513588,0.149603322148323,0.113548927009106
"road1",647100.840141631,5887812.19178084,0.147025808691978,0.128917798399925,0.103609569370747,0.087099626660347,0.0876119136810303,0.0925790220499039,0.101047858595848,0.0852613002061844
"road1",647079.095209073,5887830.91658388,0.152940645813942,0.14275287091732,0.119922563433647,0.107773073017597,0.109514892101288,0.111912794411182,0.128606364130974,0.1059789955616
"road1",647042.853654809,5887853.86956824,0.151673182845116,0.143381744623184,0.124772377312183,0.113873437047005,0.115107141435146,0.117489844560623,0.128606364130974,0.110361583530903
"road1",647045.873784331,5887937.22514305,0.155053079128265,0.14086626470089,0.122567914426327,0.10811198502779,0.107650808990002,0.112656399607658,0.115045830607414,0.0976122319698334
"road1",646965.538339047,5887904.00371831,0.147870779037476,0.133319869637489,0.104491353034973,0.0925221666693687,0.0913400799036026,0.0970406606793404,0.10454735159874,0.0780897885560989
"road1",647233.121814692,5887702.25906624,0.150828197598457,0.130175530910492,0.111104726791382,0.104383982717991,0.0955342650413513,0.100758694112301,0.108484283089638,0.0792850404977798
"road1",647244.598306876,5887693.80270358,0.152518153190613,0.131433263421059,0.1053731366992,0.0948945283889771,0.0899420157074928,0.0966688618063927,0.102797605097294,0.0717151090502739
"road1",647305.000897315,5887628.56790591,0.150405704975128,0.135835334658623,0.114190973341465,0.0945556238293648,0.0960002914071083,0.0829121395945549,0.104109913110733,0.0753008648753166
"road1",647317.081415402,5887608.63505106,0.151250690221786,0.135835334658623,0.106254920363426,0.0915054380893707,0.092272125184536,0.0929508283734322,0.100172981619835,0.0788866207003593
"road1",647342.450503387,5887544.6083052,0.143645897507668,0.129546657204628,0.106695808470249,0.0925221666693687,0.092272125184536,0.0966688618063927,0.10935915261507,0.0852613002061844
"road1",647347.886736526,5887525.27947626,0.140266001224518,0.136464193463326,0.108018487691879,0.085066169500351,0.0927381440997124,0.101130500435829,0.108921714127064,0.0832692086696625
"road1",647355.135047379,5887479.37350752,0.148293271660805,0.137093067169189,0.108018487691879,0.0976058021187782,0.10112651437521,0.0988996773958206,0.11679557710886,0.0932296440005302
"road1",647356.343099188,5887465.48091172,0.149560734629631,0.134577602148056,0.111104726791382,0.101333804428577,0.0992624312639236,0.105592139065266,0.120295070111752,0.0928312242031097
"road1",646518.609454599,5887432.60663213,0.152095660567284,0.133319869637489,0.113309189677238,0.106756344437599,0.105786725878716,0.111169189214706,0.115920700132847,0.0992059037089348
"road1",646470.187869543,5887600.3703056,0.152095660567284,0.148412674665451,0.126535937190056,0.115229070186615,0.0992624312639236,0.112656399607658,0.123357124626637,0.0956201478838921
